ID,Base Product,Category,Popular Brands,Search Variations,Misspellings/Regional,Popularity Index (1-100)
227,Gulab Jamun Mix,Snacks & Sweets,"Gits, MTR, Bambino",Milk solid sweet mix,Gulab jamon,84
228,Soan Papdi,Snacks & Sweets,"Haldiram's, Bikano",Flaky sweet dessert,Son papdi,41
229,Pure Desi Ghee,"Oils, Ghee & Condiments","Amul, Khanum, KTC, Nanak, Kheer","Clarified butter, Pure ghee","Ghi, Ghe",61
230,Mustard Oil,"Oils, Ghee & Condiments","Fortune, KTC, P&B, Engine",Sarson ka tel,Musterd oil,73
231,Coconut Oil (Edible),"Oils, Ghee & Condiments","Parachute, KTC, Heera, KPL Shudhi",Nariyal tel,Cocanut oil,59
232,Mango Pickle,"Oils, Ghee & Condiments","Mother's Recipe, Priya, Ashoka, Patak's",Aam ka achar,"Mango pikkle, Achar",78
233,Mixed Pickle,"Oils, Ghee & Condiments","Mother's Recipe, Priya, Ashoka",Mixed veg pickle,Mix achar,51
234,Ginger Garlic Paste,"Oils, Ghee & Condiments","Mother's Recipe, Priya, TRS, Heera",Adrak lasun paste,GG paste,42
235,Tamarind Paste,"Oils, Ghee & Condiments","TRS, Tamicon, Heera",Imli paste,Tamrind,59
236,Paneer,Ready to Eat & Frozen,"Amul, Nanak, Ayurveda, Vadilal, Ashoka",Cottage cheese,"Panir, Panneer",54
237,Mixed Veg Frozen,Ready to Eat & Frozen,"Vadilal, Ashoka, Daily Delight",Frozen vegetables,Mixed veg,75
238,Aloo Paratha (Frozen),Ready to Eat & Frozen,"Vadilal, Haldiram's, Ashoka, Shana",Stuffed bread,Parata,41
239,Dal Makhani (RTE),Ready to Eat & Frozen,"MTR, Ashoka, Kitchens of India",Heat and eat lentils,Daal makhni,56
240,Idli Batter,Ready to Eat & Frozen,"ID Fresh, Shastha, Annam",Fermented batter,Idly batter,84
241,Chakki Atta,Staples (Flours & Grains),"Aashirvaad, Pillsbury, Fortune, Elephant, Heera, Annapurna","Wheat flour, Roti flour, Whole wheat","Ashirwad, Aata, Atte",94
242,Maida,Staples (Flours & Grains),"TRS, Heera, Annam, KTC","All purpose flour, Plain flour","Mayda, Maida flour",96
243,Besan,Staples (Flours & Grains),"TRS, Heera, Annam, Laxmi, KTC","Gram flour, Chickpea flour","Baisan, Basin, Besun",94
244,Sooji (Coarse),Staples (Flours & Grains),"TRS, Heera, Annam, Natco","Semolina, Rava, Rawa","Suji, Sheera",97
245,Sooji (Fine),Staples (Flours & Grains),"TRS, Heera, Annam","Fine semolina, Rava fine","Suji fine, Rawa fine",97
246,Rice Flour,Staples (Flours & Grains),"Annam, TRS, Heera","Chawal ka atta, Rice powder",Arisi maavu,91
247,Bajra Flour,Staples (Flours & Grains),"TRS, Heera, Annam",Pearl millet flour,Bajari,93
248,Jowar Flour,Staples (Flours & Grains),"TRS, Heera, Annam",Sorghum flour,Jovar,91
249,Basmati Rice (Extra Long),Rice,"Tilda, India Gate, Daawat, Kohinoor, Akash, Laila","Long grain rice, Biryani rice, Aged rice","Basmathi, Bismati, Chawal",91
250,Sona Masoori Rice,Rice,"India Gate, 9Grains, Annam, Royal, TRS, Heera","South Indian rice, Short grain, Ponni","Sona Masuri, Masuri rice",87
251,Idli Rice,Rice,"Annam, TRS, Heera, Ponni","Short grain, Steamed rice","Idly rice, Arisi",89
252,Matta Rice,Rice,"Nirapara, Heera, Annam, Double Horse","Red rice, Kerala rice, Palakkadan",Mata rice,85
253,Poha (Thick),Rice,"TRS, Heera, Annam, Natco","Flattened rice, Beaten rice","Powwa, Aval, Atukulu",95
254,Poha (Thin),Rice,"TRS, Heera, Annam",Thin flattened rice,Pauwa thin,90
255,Toor Dal,Lentils & Pulses,"TRS, Heera, Annam, Chitalya, East End","Arhar dal, Split pigeon peas, Yellow lentils","Tur dal, Thoor, Thuvaram",80
256,Moong Dal (Yellow),Lentils & Pulses,"TRS, Heera, Annam, Chitalya","Split mung beans, Yellow mung","Mong dal, Mung",85
257,Chana Dal,Lentils & Pulses,"TRS, Heera, Annam, East End","Bengal gram, Split chickpeas","Channa dal, Kadalai paruppu",94
258,Urad Dal (White Gota),Lentils & Pulses,"TRS, Heera, Annam, Natco","Black gram whole, White urad","Urrad, Urid, Ulutham",73
259,Masoor Dal (Red),Lentils & Pulses,"TRS, Heera, Annam, East End",Red lentils split,"Masur dal, Mussoor",70
260,Kala Chana,Lentils & Pulses,"TRS, Heera, Annam",Black chickpeas whole,"Kala channa, Kadala",74
261,Kabuli Chana,Lentils & Pulses,"TRS, Heera, Annam","Chickpeas, Garbanzo beans","Chole, Channa",78
262,Rajma (Chitra),Lentils & Pulses,"TRS, Heera, Annam",Speckled kidney beans,Rajmah,90
263,Moong Whole,Lentils & Pulses,"TRS, Heera, Annam",Green gram whole,Moong sabut,74
264,Turmeric Powder,Spices & Masalas,"MDH, Everest, TRS, Heera, Catch, Shakti","Haldi, Curcumin","Tumeric, Haldee",74
265,Red Chili Powder,Spices & Masalas,"MDH, Everest, TRS, Shan, Catch","Mirch, Spicy powder, Lal mirch","Chilly, Chilli",71
266,Kashmiri Mirch Powder,Spices & Masalas,"Everest, MDH, TRS, Catch","Mild chili, Red color powder",Kashmiri chilli,95
267,Garam Masala,Spices & Masalas,"MDH, Everest, TRS, Shan, MTR, Badshah","Curry spice mix, Warm spice","Garam masla, Gharam",88
268,Coriander Powder,Spices & Masalas,"MDH, Everest, TRS, Heera, Catch",Dhaniya powder,"Coriender, Dhanya",86
269,Cumin Seeds,Spices & Masalas,"TRS, Heera, Annam, MDH",Jeera whole,"Zeera, Jera",82
270,Mustard Seeds (Black),Spices & Masalas,"TRS, Heera, Annam","Rai, Sarson","Musterd, Rai",80
271,Sambar Masala,Spices & Masalas,"MTR, Aachi, Everest, Eastern, 777",Sambar powder,"Sambhar, Sambar podi",76
272,Biryani Masala,Spices & Masalas,"Shan, MDH, Lucky, Everest, Ahmed",Biryani rice spice,"Biriyani, Briyani",79
273,Kitchen King Masala,Spices & Masalas,"MDH, Everest, Badshah",All purpose spice mix,Kitchen king,74
274,Chana Masala,Spices & Masalas,"MDH, Everest, Shan, Catch",Chole masala,Channa masala,85
275,Pav Bhaji Masala,Spices & Masalas,"Everest, MDH, Badshah",Bhaji spice,Paav bhaji,83
276,Chicken Masala,Spices & Masalas,"MDH, Everest, Shan, Eastern",Poultry spice,Chiken masala,70
277,Meat Masala,Spices & Masalas,"MDH, Everest, Shan, Eastern",Mutton/Meat spice,Meet masala,92
278,Aloo Bhujia,Snacks & Sweets,"Haldiram's, Bikano, Heera, Bikaji","Potato sev, Namkeen","Alu bhujia, Haldirams",48
279,Moong Dal Snack,Snacks & Sweets,"Haldiram's, Bikano, Bikaji",Fried moong lentils,Mung snack,40
280,Khatta Meetha,Snacks & Sweets,"Haldiram's, Bikano, Heera",Sweet and sour mix,Katta metha,61
281,Bhujia Sev,Snacks & Sweets,"Haldiram's, Bikaji, Bikano",Fine spicy sev,Bhujiya,66
282,Parle-G,Snacks & Sweets,Parle,Milk glucose biscuits,"Parleg, Parlay",81
283,Good Day Cashew,Snacks & Sweets,Britannia,Cashew butter cookies,Gud day,42
284,Hide & Seek,Snacks & Sweets,Parle,Chocolate chip cookies,Hide n seek,63
285,Marie Gold,Snacks & Sweets,Britannia,Tea biscuits,Mari gold,66
286,Bourbon Biscuits,Snacks & Sweets,"Britannia, Parle",Choco cream biscuits,Burbon,69
287,Gulab Jamun Mix,Snacks & Sweets,"Gits, MTR, Bambino",Milk solid sweet mix,Gulab jamon,84
288,Soan Papdi,Snacks & Sweets,"Haldiram's, Bikano",Flaky sweet dessert,Son papdi,43
289,Pure Desi Ghee,"Oils, Ghee & Condiments","Amul, Khanum, KTC, Nanak, Kheer","Clarified butter, Pure ghee","Ghi, Ghe",71
290,Mustard Oil,"Oils, Ghee & Condiments","Fortune, KTC, P&B, Engine",Sarson ka tel,Musterd oil,57
291,Coconut Oil (Edible),"Oils, Ghee & Condiments","Parachute, KTC, Heera, KPL Shudhi",Nariyal tel,Cocanut oil,73
292,Mango Pickle,"Oils, Ghee & Condiments","Mother's Recipe, Priya, Ashoka, Patak's",Aam ka achar,"Mango pikkle, Achar",48
293,Mixed Pickle,"Oils, Ghee & Condiments","Mother's Recipe, Priya, Ashoka",Mixed veg pickle,Mix achar,79
294,Ginger Garlic Paste,"Oils, Ghee & Condiments","Mother's Recipe, Priya, TRS, Heera",Adrak lasun paste,GG paste,85
295,Tamarind Paste,"Oils, Ghee & Condiments","TRS, Tamicon, Heera",Imli paste,Tamrind,52
296,Paneer,Ready to Eat & Frozen,"Amul, Nanak, Ayurveda, Vadilal, Ashoka",Cottage cheese,"Panir, Panneer",78
297,Mixed Veg Frozen,Ready to Eat & Frozen,"Vadilal, Ashoka, Daily Delight",Frozen vegetables,Mixed veg,50
298,Aloo Paratha (Frozen),Ready to Eat & Frozen,"Vadilal, Haldiram's, Ashoka, Shana",Stuffed bread,Parata,63
299,Dal Makhani (RTE),Ready to Eat & Frozen,"MTR, Ashoka, Kitchens of India",Heat and eat lentils,Daal makhni,74
300,Idli Batter,Ready to Eat & Frozen,"ID Fresh, Shastha, Annam",Fermented batter,Idly batter,67
301,Chakki Atta,Staples (Flours & Grains),"Aashirvaad, Pillsbury, Fortune, Elephant, Heera, Annapurna","Wheat flour, Roti flour, Whole wheat","Ashirwad, Aata, Atte",91
302,Maida,Staples (Flours & Grains),"TRS, Heera, Annam, KTC","All purpose flour, Plain flour","Mayda, Maida flour",85
303,Besan,Staples (Flours & Grains),"TRS, Heera, Annam, Laxmi, KTC","Gram flour, Chickpea flour","Baisan, Basin, Besun",94
304,Sooji (Coarse),Staples (Flours & Grains),"TRS, Heera, Annam, Natco","Semolina, Rava, Rawa","Suji, Sheera",93
305,Sooji (Fine),Staples (Flours & Grains),"TRS, Heera, Annam","Fine semolina, Rava fine","Suji fine, Rawa fine",92
306,Rice Flour,Staples (Flours & Grains),"Annam, TRS, Heera","Chawal ka atta, Rice powder",Arisi maavu,95
307,Bajra Flour,Staples (Flours & Grains),"TRS, Heera, Annam",Pearl millet flour,Bajari,94
308,Jowar Flour,Staples (Flours & Grains),"TRS, Heera, Annam",Sorghum flour,Jovar,86
309,Basmati Rice (Extra Long),Rice,"Tilda, India Gate, Daawat, Kohinoor, Akash, Laila","Long grain rice, Biryani rice, Aged rice","Basmathi, Bismati, Chawal",94
310,Sona Masoori Rice,Rice,"India Gate, 9Grains, Annam, Royal, TRS, Heera","South Indian rice, Short grain, Ponni","Sona Masuri, Masuri rice",91
311,Idli Rice,Rice,"Annam, TRS, Heera, Ponni","Short grain, Steamed rice","Idly rice, Arisi",95
312,Matta Rice,Rice,"Nirapara, Heera, Annam, Double Horse","Red rice, Kerala rice, Palakkadan",Mata rice,91
313,Poha (Thick),Rice,"TRS, Heera, Annam, Natco","Flattened rice, Beaten rice","Powwa, Aval, Atukulu",93
314,Poha (Thin),Rice,"TRS, Heera, Annam",Thin flattened rice,Pauwa thin,96
315,Toor Dal,Lentils & Pulses,"TRS, Heera, Annam, Chitalya, East End","Arhar dal, Split pigeon peas, Yellow lentils","Tur dal, Thoor, Thuvaram",77
316,Moong Dal (Yellow),Lentils & Pulses,"TRS, Heera, Annam, Chitalya","Split mung beans, Yellow mung","Mong dal, Mung",77
317,Chana Dal,Lentils & Pulses,"TRS, Heera, Annam, East End","Bengal gram, Split chickpeas","Channa dal, Kadalai paruppu",85
318,Urad Dal (White Gota),Lentils & Pulses,"TRS, Heera, Annam, Natco","Black gram whole, White urad","Urrad, Urid, Ulutham",89
319,Masoor Dal (Red),Lentils & Pulses,"TRS, Heera, Annam, East End",Red lentils split,"Masur dal, Mussoor",70
320,Kala Chana,Lentils & Pulses,"TRS, Heera, Annam",Black chickpeas whole,"Kala channa, Kadala",92
321,Kabuli Chana,Lentils & Pulses,"TRS, Heera, Annam","Chickpeas, Garbanzo beans","Chole, Channa",70
322,Rajma (Chitra),Lentils & Pulses,"TRS, Heera, Annam",Speckled kidney beans,Rajmah,71
323,Moong Whole,Lentils & Pulses,"TRS, Heera, Annam",Green gram whole,Moong sabut,82
324,Turmeric Powder,Spices & Masalas,"MDH, Everest, TRS, Heera, Catch, Shakti","Haldi, Curcumin","Tumeric, Haldee",90
325,Red Chili Powder,Spices & Masalas,"MDH, Everest, TRS, Shan, Catch","Mirch, Spicy powder, Lal mirch","Chilly, Chilli",70
326,Kashmiri Mirch Powder,Spices & Masalas,"Everest, MDH, TRS, Catch","Mild chili, Red color powder",Kashmiri chilli,82
327,Garam Masala,Spices & Masalas,"MDH, Everest, TRS, Shan, MTR, Badshah","Curry spice mix, Warm spice","Garam masla, Gharam",75
328,Coriander Powder,Spices & Masalas,"MDH, Everest, TRS, Heera, Catch",Dhaniya powder,"Coriender, Dhanya",89
329,Cumin Seeds,Spices & Masalas,"TRS, Heera, Annam, MDH",Jeera whole,"Zeera, Jera",95
330,Mustard Seeds (Black),Spices & Masalas,"TRS, Heera, Annam","Rai, Sarson","Musterd, Rai",84
331,Sambar Masala,Spices & Masalas,"MTR, Aachi, Everest, Eastern, 777",Sambar powder,"Sambhar, Sambar podi",79
332,Biryani Masala,Spices & Masalas,"Shan, MDH, Lucky, Everest, Ahmed",Biryani rice spice,"Biriyani, Briyani",71
333,Kitchen King Masala,Spices & Masalas,"MDH, Everest, Badshah",All purpose spice mix,Kitchen king,81
334,Chana Masala,Spices & Masalas,"MDH, Everest, Shan, Catch",Chole masala,Channa masala,82
335,Pav Bhaji Masala,Spices & Masalas,"Everest, MDH, Badshah",Bhaji spice,Paav bhaji,92
336,Chicken Masala,Spices & Masalas,"MDH, Everest, Shan, Eastern",Poultry spice,Chiken masala,77
337,Meat Masala,Spices & Masalas,"MDH, Everest, Shan, Eastern",Mutton/Meat spice,Meet masala,78
338,Aloo Bhujia,Snacks & Sweets,"Haldiram's, Bikano, Heera, Bikaji","Potato sev, Namkeen","Alu bhujia, Haldirams",54
339,Moong Dal Snack,Snacks & Sweets,"Haldiram's, Bikano, Bikaji",Fried moong lentils,Mung snack,68
340,Khatta Meetha,Snacks & Sweets,"Haldiram's, Bikano, Heera",Sweet and sour mix,Katta metha,49
341,Bhujia Sev,Snacks & Sweets,"Haldiram's, Bikaji, Bikano",Fine spicy sev,Bhujiya,81
342,Parle-G,Snacks & Sweets,Parle,Milk glucose biscuits,"Parleg, Parlay",59
343,Good Day Cashew,Snacks & Sweets,Britannia,Cashew butter cookies,Gud day,43
344,Hide & Seek,Snacks & Sweets,Parle,Chocolate chip cookies,Hide n seek,78
345,Marie Gold,Snacks & Sweets,Britannia,Tea biscuits,Mari gold,61
346,Bourbon Biscuits,Snacks & Sweets,"Britannia, Parle",Choco cream biscuits,Burbon,74
347,Gulab Jamun Mix,Snacks & Sweets,"Gits, MTR, Bambino",Milk solid sweet mix,Gulab jamon,66
348,Soan Papdi,Snacks & Sweets,"Haldiram's, Bikano",Flaky sweet dessert,Son papdi,84
349,Pure Desi Ghee,"Oils, Ghee & Condiments","Amul, Khanum, KTC, Nanak, Kheer","Clarified butter, Pure ghee","Ghi, Ghe",42
350,Mustard Oil,"Oils, Ghee & Condiments","Fortune, KTC, P&B, Engine",Sarson ka tel,Musterd oil,69
351,Coconut Oil (Edible),"Oils, Ghee & Condiments","Parachute, KTC, Heera, KPL Shudhi",Nariyal tel,Cocanut oil,67
352,Mango Pickle,"Oils, Ghee & Condiments","Mother's Recipe, Priya, Ashoka, Patak's",Aam ka achar,"Mango pikkle, Achar",43
353,Mixed Pickle,"Oils, Ghee & Condiments","Mother's Recipe, Priya, Ashoka",Mixed veg pickle,Mix achar,81
354,Ginger Garlic Paste,"Oils, Ghee & Condiments","Mother's Recipe, Priya, TRS, Heera",Adrak lasun paste,GG paste,74
355,Tamarind Paste,"Oils, Ghee & Condiments","TRS, Tamicon, Heera",Imli paste,Tamrind,48
356,Paneer,Ready to Eat & Frozen,"Amul, Nanak, Ayurveda, Vadilal, Ashoka",Cottage cheese,"Panir, Panneer",63
357,Mixed Veg Frozen,Ready to Eat & Frozen,"Vadilal, Ashoka, Daily Delight",Frozen vegetables,Mixed veg,73
358,Aloo Paratha (Frozen),Ready to Eat & Frozen,"Vadilal, Haldiram's, Ashoka, Shana",Stuffed bread,Parata,76
359,Dal Makhani (RTE),Ready to Eat & Frozen,"MTR, Ashoka, Kitchens of India",Heat and eat lentils,Daal makhni,79
360,Idli Batter,Ready to Eat & Frozen,"ID Fresh, Shastha, Annam",Fermented batter,Idly batter,64
361,Chakki Atta,Staples (Flours & Grains),"Aashirvaad, Pillsbury, Fortune, Elephant, Heera, Annapurna","Wheat flour, Roti flour, Whole wheat","Ashirwad, Aata, Atte",99
362,Maida,Staples (Flours & Grains),"TRS, Heera, Annam, KTC","All purpose flour, Plain flour","Mayda, Maida flour",88
363,Besan,Staples (Flours & Grains),"TRS, Heera, Annam, Laxmi, KTC","Gram flour, Chickpea flour","Baisan, Basin, Besun",85
364,Sooji (Coarse),Staples (Flours & Grains),"TRS, Heera, Annam, Natco","Semolina, Rava, Rawa","Suji, Sheera",99
365,Sooji (Fine),Staples (Flours & Grains),"TRS, Heera, Annam","Fine semolina, Rava fine","Suji fine, Rawa fine",99
366,Rice Flour,Staples (Flours & Grains),"Annam, TRS, Heera","Chawal ka atta, Rice powder",Arisi maavu,98
367,Bajra Flour,Staples (Flours & Grains),"TRS, Heera, Annam",Pearl millet flour,Bajari,86
368,Jowar Flour,Staples (Flours & Grains),"TRS, Heera, Annam",Sorghum flour,Jovar,90
369,Basmati Rice (Extra Long),Rice,"Tilda, India Gate, Daawat, Kohinoor, Akash, Laila","Long grain rice, Biryani rice, Aged rice","Basmathi, Bismati, Chawal",95
370,Sona Masoori Rice,Rice,"India Gate, 9Grains, Annam, Royal, TRS, Heera","South Indian rice, Short grain, Ponni","Sona Masuri, Masuri rice",88
371,Idli Rice,Rice,"Annam, TRS, Heera, Ponni","Short grain, Steamed rice","Idly rice, Arisi",92
372,Matta Rice,Rice,"Nirapara, Heera, Annam, Double Horse","Red rice, Kerala rice, Palakkadan",Mata rice,93
373,Poha (Thick),Rice,"TRS, Heera, Annam, Natco","Flattened rice, Beaten rice","Powwa, Aval, Atukulu",100
374,Poha (Thin),Rice,"TRS, Heera, Annam",Thin flattened rice,Pauwa thin,92
375,Toor Dal,Lentils & Pulses,"TRS, Heera, Annam, Chitalya, East End","Arhar dal, Split pigeon peas, Yellow lentils","Tur dal, Thoor, Thuvaram",82
376,Moong Dal (Yellow),Lentils & Pulses,"TRS, Heera, Annam, Chitalya","Split mung beans, Yellow mung","Mong dal, Mung",89
377,Chana Dal,Lentils & Pulses,"TRS, Heera, Annam, East End","Bengal gram, Split chickpeas","Channa dal, Kadalai paruppu",91
378,Urad Dal (White Gota),Lentils & Pulses,"TRS, Heera, Annam, Natco","Black gram whole, White urad","Urrad, Urid, Ulutham",84
379,Masoor Dal (Red),Lentils & Pulses,"TRS, Heera, Annam, East End",Red lentils split,"Masur dal, Mussoor",79
380,Kala Chana,Lentils & Pulses,"TRS, Heera, Annam",Black chickpeas whole,"Kala channa, Kadala",91
381,Kabuli Chana,Lentils & Pulses,"TRS, Heera, Annam","Chickpeas, Garbanzo beans","Chole, Channa",81
382,Rajma (Chitra),Lentils & Pulses,"TRS, Heera, Annam",Speckled kidney beans,Rajmah,74
383,Moong Whole,Lentils & Pulses,"TRS, Heera, Annam",Green gram whole,Moong sabut,71
384,Turmeric Powder,Spices & Masalas,"MDH, Everest, TRS, Heera, Catch, Shakti","Haldi, Curcumin","Tumeric, Haldee",77
385,Red Chili Powder,Spices & Masalas,"MDH, Everest, TRS, Shan, Catch","Mirch, Spicy powder, Lal mirch","Chilly, Chilli",81
386,Kashmiri Mirch Powder,Spices & Masalas,"Everest, MDH, TRS, Catch","Mild chili, Red color powder",Kashmiri chilli,86
387,Garam Masala,Spices & Masalas,"MDH, Everest, TRS, Shan, MTR, Badshah","Curry spice mix, Warm spice","Garam masla, Gharam",95
388,Coriander Powder,Spices & Masalas,"MDH, Everest, TRS, Heera, Catch",Dhaniya powder,"Coriender, Dhanya",81
389,Cumin Seeds,Spices & Masalas,"TRS, Heera, Annam, MDH",Jeera whole,"Zeera, Jera",88
390,Mustard Seeds (Black),Spices & Masalas,"TRS, Heera, Annam","Rai, Sarson","Musterd, Rai",87
391,Sambar Masala,Spices & Masalas,"MTR, Aachi, Everest, Eastern, 777",Sambar powder,"Sambhar, Sambar podi",84
392,Biryani Masala,Spices & Masalas,"Shan, MDH, Lucky, Everest, Ahmed",Biryani rice spice,"Biriyani, Briyani",82
393,Kitchen King Masala,Spices & Masalas,"MDH, Everest, Badshah",All purpose spice mix,Kitchen king,89
394,Chana Masala,Spices & Masalas,"MDH, Everest, Shan, Catch",Chole masala,Channa masala,93
395,Pav Bhaji Masala,Spices & Masalas,"Everest, MDH, Badshah",Bhaji spice,Paav bhaji,80
396,Chicken Masala,Spices & Masalas,"MDH, Everest, Shan, Eastern",Poultry spice,Chiken masala,73
397,Meat Masala,Spices & Masalas,"MDH, Everest, Shan, Eastern",Mutton/Meat spice,Meet masala,78
398,Aloo Bhujia,Snacks & Sweets,"Haldiram's, Bikano, Heera, Bikaji","Potato sev, Namkeen","Alu bhujia, Haldirams",65
399,Moong Dal Snack,Snacks & Sweets,"Haldiram's, Bikano, Bikaji",Fried moong lentils,Mung snack,57
400,Khatta Meetha,Snacks & Sweets,"Haldiram's, Bikano, Heera",Sweet and sour mix,Katta metha,73
401,Bhujia Sev,Snacks & Sweets,"Haldiram's, Bikaji, Bikano",Fine spicy sev,Bhujiya,85
402,Parle-G,Snacks & Sweets,Parle,Milk glucose biscuits,"Parleg, Parlay",43
403,Good Day Cashew,Snacks & Sweets,Britannia,Cashew butter cookies,Gud day,64
404,Hide & Seek,Snacks & Sweets,Parle,Chocolate chip cookies,Hide n seek,42
405,Marie Gold,Snacks & Sweets,Britannia,Tea biscuits,Mari gold,59
406,Bourbon Biscuits,Snacks & Sweets,"Britannia, Parle",Choco cream biscuits,Burbon,72
407,Gulab Jamun Mix,Snacks & Sweets,"Gits, MTR, Bambino",Milk solid sweet mix,Gulab jamon,41
408,Soan Papdi,Snacks & Sweets,"Haldiram's, Bikano",Flaky sweet dessert,Son papdi,84
409,Pure Desi Ghee,"Oils, Ghee & Condiments","Amul, Khanum, KTC, Nanak, Kheer","Clarified butter, Pure ghee","Ghi, Ghe",73
410,Mustard Oil,"Oils, Ghee & Condiments","Fortune, KTC, P&B, Engine",Sarson ka tel,Musterd oil,62
411,Coconut Oil (Edible),"Oils, Ghee & Condiments","Parachute, KTC, Heera, KPL Shudhi",Nariyal tel,Cocanut oil,76
412,Mango Pickle,"Oils, Ghee & Condiments","Mother's Recipe, Priya, Ashoka, Patak's",Aam ka achar,"Mango pikkle, Achar",47
413,Mixed Pickle,"Oils, Ghee & Condiments","Mother's Recipe, Priya, Ashoka",Mixed veg pickle,Mix achar,61
414,Ginger Garlic Paste,"Oils, Ghee & Condiments","Mother's Recipe, Priya, TRS, Heera",Adrak lasun paste,GG paste,67
415,Tamarind Paste,"Oils, Ghee & Condiments","TRS, Tamicon, Heera",Imli paste,Tamrind,61
416,Paneer,Ready to Eat & Frozen,"Amul, Nanak, Ayurveda, Vadilal, Ashoka",Cottage cheese,"Panir, Panneer",46
417,Mixed Veg Frozen,Ready to Eat & Frozen,"Vadilal, Ashoka, Daily Delight",Frozen vegetables,Mixed veg,65
418,Aloo Paratha (Frozen),Ready to Eat & Frozen,"Vadilal, Haldiram's, Ashoka, Shana",Stuffed bread,Parata,60
419,Dal Makhani (RTE),Ready to Eat & Frozen,"MTR, Ashoka, Kitchens of India",Heat and eat lentils,Daal makhni,76
420,Idli Batter,Ready to Eat & Frozen,"ID Fresh, Shastha, Annam",Fermented batter,Idly batter,81
421,Chakki Atta,Staples (Flours & Grains),"Aashirvaad, Pillsbury, Fortune, Elephant, Heera, Annapurna","Wheat flour, Roti flour, Whole wheat","Ashirwad, Aata, Atte",97
422,Maida,Staples (Flours & Grains),"TRS, Heera, Annam, KTC","All purpose flour, Plain flour","Mayda, Maida flour",88
423,Besan,Staples (Flours & Grains),"TRS, Heera, Annam, Laxmi, KTC","Gram flour, Chickpea flour","Baisan, Basin, Besun",92
424,Sooji (Coarse),Staples (Flours & Grains),"TRS, Heera, Annam, Natco","Semolina, Rava, Rawa","Suji, Sheera",95
425,Sooji (Fine),Staples (Flours & Grains),"TRS, Heera, Annam","Fine semolina, Rava fine","Suji fine, Rawa fine",94
426,Rice Flour,Staples (Flours & Grains),"Annam, TRS, Heera","Chawal ka atta, Rice powder",Arisi maavu,96
427,Bajra Flour,Staples (Flours & Grains),"TRS, Heera, Annam",Pearl millet flour,Bajari,100
428,Jowar Flour,Staples (Flours & Grains),"TRS, Heera, Annam",Sorghum flour,Jovar,94
429,Basmati Rice (Extra Long),Rice,"Tilda, India Gate, Daawat, Kohinoor, Akash, Laila","Long grain rice, Biryani rice, Aged rice","Basmathi, Bismati, Chawal",90
430,Sona Masoori Rice,Rice,"India Gate, 9Grains, Annam, Royal, TRS, Heera","South Indian rice, Short grain, Ponni","Sona Masuri, Masuri rice",85
431,Idli Rice,Rice,"Annam, TRS, Heera, Ponni","Short grain, Steamed rice","Idly rice, Arisi",93
432,Matta Rice,Rice,"Nirapara, Heera, Annam, Double Horse","Red rice, Kerala rice, Palakkadan",Mata rice,100
433,Poha (Thick),Rice,"TRS, Heera, Annam, Natco","Flattened rice, Beaten rice","Powwa, Aval, Atukulu",99
434,Poha (Thin),Rice,"TRS, Heera, Annam",Thin flattened rice,Pauwa thin,99
435,Toor Dal,Lentils & Pulses,"TRS, Heera, Annam, Chitalya, East End","Arhar dal, Split pigeon peas, Yellow lentils","Tur dal, Thoor, Thuvaram",89
436,Moong Dal (Yellow),Lentils & Pulses,"TRS, Heera, Annam, Chitalya","Split mung beans, Yellow mung","Mong dal, Mung",74
437,Chana Dal,Lentils & Pulses,"TRS, Heera, Annam, East End","Bengal gram, Split chickpeas","Channa dal, Kadalai paruppu",71
438,Urad Dal (White Gota),Lentils & Pulses,"TRS, Heera, Annam, Natco","Black gram whole, White urad","Urrad, Urid, Ulutham",95
439,Masoor Dal (Red),Lentils & Pulses,"TRS, Heera, Annam, East End",Red lentils split,"Masur dal, Mussoor",70
440,Kala Chana,Lentils & Pulses,"TRS, Heera, Annam",Black chickpeas whole,"Kala channa, Kadala",94
441,Kabuli Chana,Lentils & Pulses,"TRS, Heera, Annam","Chickpeas, Garbanzo beans","Chole, Channa",76
442,Rajma (Chitra),Lentils & Pulses,"TRS, Heera, Annam",Speckled kidney beans,Rajmah,88
443,Moong Whole,Lentils & Pulses,"TRS, Heera, Annam",Green gram whole,Moong sabut,84
444,Turmeric Powder,Spices & Masalas,"MDH, Everest, TRS, Heera, Catch, Shakti","Haldi, Curcumin","Tumeric, Haldee",92
445,Red Chili Powder,Spices & Masalas,"MDH, Everest, TRS, Shan, Catch","Mirch, Spicy powder, Lal mirch","Chilly, Chilli",79
446,Kashmiri Mirch Powder,Spices & Masalas,"Everest, MDH, TRS, Catch","Mild chili, Red color powder",Kashmiri chilli,81
447,Garam Masala,Spices & Masalas,"MDH, Everest, TRS, Shan, MTR, Badshah","Curry spice mix, Warm spice","Garam masla, Gharam",92
448,Coriander Powder,Spices & Masalas,"MDH, Everest, TRS, Heera, Catch",Dhaniya powder,"Coriender, Dhanya",86
449,Cumin Seeds,Spices & Masalas,"TRS, Heera, Annam, MDH",Jeera whole,"Zeera, Jera",92
450,Mustard Seeds (Black),Spices & Masalas,"TRS, Heera, Annam","Rai, Sarson","Musterd, Rai",86
451,Sambar Masala,Spices & Masalas,"MTR, Aachi, Everest, Eastern, 777",Sambar powder,"Sambhar, Sambar podi",90
